AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
Serie A,2011,Other,CF,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2011,Serie A,CB,Tier_2,Tier_3,U30,10Mto1M,75to84,65to74,SA
Premier League,2015,Serie A,CAM,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,SA
Serie A,2011,Other,CAM,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2011,Other,CB,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Liga Nos,2011,Other,CDM,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Primera Division,2011,Primera Division,CAM,Tier_4,Tier_4,U25,Below1M,65to74,65to74,SA
Ligue 1,2013,Liga Nos,CAM,Tier_3,Tier_2,U25,10Mto1M,65to74,65to74,SA
Serie A,2011,Other,CAM,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2011,Other,CB,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Premier League,2015,Other,CB,Tier_1,Tier_4,U30,Below1M,75to84,65to74,SA
Ligue 1,2012,Eredivisie,CF,Tier_2,Tier_2,U30,10Mto1M,65to74,65to74,SA
Premier League,2012,Other,CF,Tier_3,Tier_4,U30,Below1M,65to74,65to74,SA
Primera Division,2012,Primera Division,CDM,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
1 Bundesliga,2012,Primera Division,CB,Tier_2,Tier_3,U30,10Mto1M,75to84,65to74,SA
1 Bundesliga,2015,1 Bundesliga,CB,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,SA
Primera Division,2012,Primera Division,CB,Tier_1,Tier_3,A30,Below1M,75to84,65to74,SA
Liga Nos,2012,Other,LW,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,SA
Serie A,2012,Other,CM,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2015,Serie A,CM,Tier_3,Tier_3,U30,10Mto1M,75to84,65to74,SA
Serie A,2018,Serie A,CM,Tier_2,Tier_3,U30,10Mto1M,75to84,75to84,SA
Ligue 1,2012,Serie A,CF,Tier_1,Tier_1,U30,40Mto10M,85above,75to84,SA
Serie A,2012,Serie A,RB,Tier_2,Tier_2,A30,Below1M,65to74,65to74,SA
Serie A,2012,Primera Division,CB,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
Premier Liga,2012,Other,CB,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,SA
Serie A,2012,Other,CF,Tier_2,Tier_4,U21,40Mto10M,75to84,65to74,SA
Serie A,2015,Serie A,CF,Tier_1,Tier_2,U21,40Mto10M,85above,65to74,SA
Primera Division,2012,Other,CM,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,SA
Primera Division,2015,Primera Division,CM,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,SA
Serie A,2012,Other,RW,Tier_2,Tier_4,U30,Below1M,75to84,65to74,SA
Premier League,2012,Other,GK,Tier_1,Tier_4,U21,10Mto1M,below65,65to74,SA
Premier Liga,2013,Premier Liga,LB,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,SA
Serie A,2016,Premier Liga,LB,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
Serie A,2016,Serie A,LB,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
Serie A,2019,Serie A,LB,Tier_2,Tier_1,A30,10Mto1M,75to84,75to84,SA
Premier League,2013,Serie A,CF,Tier_2,Tier_2,U30,10Mto1M,75to84,65to74,SA
Serie A,2013,Primera Division,CF,Tier_1,Tier_1,U25,40Mto10M,85above,85above,SA
Serie A,2016,Serie A,CF,Tier_1,Tier_1,U30,Above80M,85above,75to84,SA
Liga Nos,2013,Other,CM,Tier_3,Tier_4,U25,Below1M,75to84,65to74,SA
Liga Nos,2017,Liga Nos,CM,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,SA
Serie A,2013,Serie A,CF,Tier_1,Tier_1,A30,10Mto1M,75to84,75to84,SA
Serie A,2013,Serie A,GK,Tier_1,Tier_2,A30,Below1M,65to74,65to74,SA
Serie A,2014,Serie A,GK,Tier_3,Tier_1,A30,Below1M,65to74,65to74,SA
Serie A,2013,Serie A,CF,Tier_2,Tier_2,U21,40Mto10M,75to84,below65,SA
Serie A,2013,Other,CDM,Tier_2,Tier_4,U30,10Mto1M,75to84,75to84,SA
Serie A,2017,Serie A,CDM,Tier_1,Tier_2,A30,40Mto10M,75to84,75to84,SA
Serie A,2013,Serie A,CF,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,SA
Ligue 1,2013,Other,CB,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Primera Division,2014,Ligue 1,CB,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,SA
Liga Nos,2013,Other,CF,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2013,Other,RB,Tier_3,Tier_4,U21,10Mto1M,below65,65to74,SA
Primera Division,2013,Other,CM,Tier_2,Tier_4,U30,Below1M,75to84,65to74,SA
Liga Nos,2014,Other,LB,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,SA
Primera Division,2019,Liga Nos,LB,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,SA
Serie A,2014,Other,CF,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,SA
Primera Division,2016,Serie A,CF,Tier_1,Tier_2,U21,40Mto10M,75to84,65to74,SA
Serie A,2018,Primera Division,CF,Tier_2,Tier_1,U25,40Mto10M,75to84,65to74,SA
Premier League,2014,Primera Division,CB,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
Serie A,2017,Premier League,CB,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
