AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
Ligue 1,2011,Other,CAM,Tier_4,Tier_4,U30,Below1M,75to84,below65,EU
Primera Division,2011,Other,CB,Tier_1,Tier_4,U21,Below1M,65to74,65to74,EU
Premier League,2015,Ligue 1,CB,Tier_1,Tier_2,U25,Below1M,65to74,65to74,EU
Primera Division,2016,Premier League,CB,Tier_3,Tier_1,U25,10Mto1M,75to84,65to74,EU
Premier League,2017,Primera Division,CB,Tier_1,Tier_3,U30,10Mto1M,75to84,65to74,EU
Premier League,2012,Ligue 1,RB,Tier_1,Tier_2,U30,10Mto1M,75to84,65to74,EU
Premier League,2014,Premier League,RB,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,EU
Premier League,2012,Ligue 1,CB,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
Serie A,2014,Premier League,CB,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Serie A,CB,Tier_1,Tier_1,U30,10Mto1M,75to84,65to74,EU
Premier League,2012,Ligue 1,GK,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Serie A,2012,Ligue 1,CF,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2012,Ligue 1,CM,Tier_3,Tier_1,U21,Below1M,75to84,below65,EU
Ligue 1,2012,Ligue 1,RB,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Premier Liga,2012,Primera Division,CDM,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Premier Liga,2013,Premier Liga,CDM,Tier_2,Tier_2,U30,40Mto10M,75to84,75to84,EU
Premier League,2012,Ligue 1,CM,Tier_1,Tier_3,U25,10Mto1M,75to84,75to84,EU
Premier League,2016,Premier League,CM,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,EU
Ligue 1,2012,Ligue 1,CB,Tier_3,Tier_3,U30,10Mto1M,75to84,75to84,EU
Premier League,2012,Ligue 1,LW,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2012,Ligue 1,CB,Tier_4,Tier_2,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2013,Ligue 1,CB,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2012,Ligue 1,CAM,Tier_3,Tier_3,U25,10Mto1M,75to84,below65,EU
Ligue 1,2013,Ligue 1,CAM,Tier_2,Tier_3,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2012,Ligue 1,CDM,Tier_1,Tier_3,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2012,Ligue 1,CAM,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
Serie A,2017,Ligue 1,CAM,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2012,Ligue 1,RB,Tier_4,Tier_2,U21,Below1M,65to74,65to74,EU
Premier Liga,2012,Ligue 1,CDM,Tier_2,Tier_2,U25,40Mto10M,85above,65to74,EU
Ligue 1,2012,Ligue 1,CM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Other,CM,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
Serie A,2018,Ligue 1,CM,Tier_2,Tier_1,U25,10Mto1M,75to84,75to84,EU
Ligue 1,2012,Ligue 1,RW,Tier_3,Tier_4,U30,Below1M,75to84,below65,EU
Eredivisie,2012,Other,CF,Tier_4,Tier_4,U25,Below1M,65to74,65to74,EU
Serie A,2012,Ligue 1,CB,Tier_2,Tier_3,U25,10Mto1M,65to74,below65,EU
Serie A,2012,Ligue 1,CF,Tier_1,Tier_3,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2012,Ligue 1,GK,Tier_4,Tier_3,U30,10Mto1M,75to84,65to74,EU
Primera Division,2012,Ligue 1,CM,Tier_1,Tier_4,U21,10Mto1M,65to74,65to74,EU
Ligue 1,2013,Primera Division,CM,Tier_1,Tier_1,U21,40Mto10M,75to84,below65,EU
Serie A,2015,Ligue 1,CM,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
Primera Division,2018,Serie A,CM,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Ligue 1,2012,Ligue 1,CAM,Tier_2,Tier_3,U25,10Mto1M,85above,65to74,EU
Ligue 1,2012,Ligue 1,RW,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2013,Ligue 1,RW,Tier_1,Tier_2,U21,40Mto10M,75to84,below65,EU
Premier League,2015,Ligue 1,RW,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
Ligue 1,2017,Premier League,RW,Tier_1,Tier_1,U25,10Mto1M,75to84,75to84,EU
Ligue 1,2012,Ligue 1,CF,Tier_3,Tier_3,U25,10Mto1M,75to84,below65,EU
Ligue 1,2013,Ligue 1,CF,Tier_3,Tier_3,U25,Below1M,75to84,65to74,EU
Ligue 1,2012,Other,CB,Tier_4,Tier_4,U21,10Mto1M,65to74,below65,EU
Ligue 1,2014,Ligue 1,CB,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2016,Ligue 1,CB,Tier_3,Tier_1,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2012,Ligue 1,RB,Tier_2,Tier_4,U21,10Mto1M,65to74,below65,EU
Ligue 1,2016,Ligue 1,RB,Tier_1,Tier_2,U25,40Mto10M,75to84,65to74,EU
Ligue 1,2012,Other,CB,Tier_2,Tier_4,U25,Below1M,75to84,below65,EU
Ligue 1,2012,Other,CF,Tier_3,Tier_4,U30,Below1M,75to84,65to74,EU
Ligue 1,2012,Ligue 1,RB,Tier_4,Tier_4,U21,Below1M,65to74,below65,EU
Premier League,2012,Other,CDM,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2012,Other,RW,Tier_2,Tier_4,U25,10Mto1M,75to84,below65,EU
Ligue 1,2014,Ligue 1,RW,Tier_1,Tier_2,U25,10Mto1M,75to84,75to84,EU
Ligue 1,2012,Other,RW,Tier_4,Tier_4,U25,Below1M,65to74,65to74,EU
Ligue 1,2012,Other,CF,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Ligue 1,2017,Ligue 1,CF,Tier_2,Tier_2,U30,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Other,CF,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,EU
Liga Nos,2012,Other,CB,Tier_3,Tier_4,U21,Below1M,65to74,below65,EU
Ligue 1,2013,Ligue 1,LB,Tier_1,Tier_2,U21,40Mto10M,75to84,below65,EU
Primera Division,2016,Ligue 1,LB,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
Premier League,2018,Primera Division,LB,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
Ligue 1,2013,Ligue 1,CDM,Tier_3,Tier_1,U21,Below1M,75to84,65to74,EU
Serie A,2013,Other,CB,Tier_3,Tier_4,U25,Below1M,65to74,65to74,EU
Serie A,2013,Serie A,CB,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Serie A,CB,Tier_3,Tier_2,U25,Below1M,75to84,65to74,EU
Premier League,2013,Ligue 1,CB,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
Premier League,2017,Premier League,CB,Tier_2,Tier_1,U30,40Mto10M,75to84,75to84,EU
Premier League,2013,Ligue 1,CDM,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
Premier League,2015,Premier League,CDM,Tier_2,Tier_1,U30,10Mto1M,75to84,65to74,EU
Ligue 1,2013,Ligue 1,LB,Tier_2,Tier_3,U25,10Mto1M,75to84,75to84,EU
Premier League,2015,Ligue 1,LB,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2013,Ligue 1,CAM,Tier_3,Tier_3,U25,10Mto1M,65to74,65to74,EU
Ligue 1,2013,Ligue 1,CDM,Tier_1,Tier_3,U21,10Mto1M,65to74,65to74,EU
Primera Division,2013,Ligue 1,CDM,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,Primera Division,CDM,Tier_1,Tier_1,U25,10Mto1M,75to84,75to84,EU
Premier League,2013,Ligue 1,CB,Tier_1,Tier_2,U21,40Mto10M,85above,below65,EU
Premier League,2013,Ligue 1,CB,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Premier League,CB,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2013,Ligue 1,LW,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,Ligue 1,LW,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2013,Ligue 1,LW,Tier_3,Tier_3,U21,10Mto1M,75to84,65to74,EU
Serie A,2013,Other,CB,Tier_2,Tier_4,U21,Below1M,below65,65to74,EU
Ligue 1,2013,Other,CM,Tier_3,Tier_4,U21,Below1M,65to74,65to74,EU
Ligue 1,2016,Ligue 1,CM,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2013,Ligue 1,LW,Tier_1,Tier_4,A30,Below1M,65to74,75to84,EU
Ligue 1,2013,Ligue 1,CB,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
Eredivisie,2015,Ligue 1,CB,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2013,Ligue 1,CDM,Tier_1,Tier_4,U21,10Mto1M,85above,65to74,EU
Liga Nos,2015,Ligue 1,CDM,Tier_1,Tier_1,U25,40Mto10M,75to84,65to74,EU
Premier League,2015,Liga Nos,CDM,Tier_2,Tier_1,U25,40Mto10M,75to84,65to74,EU
Serie A,2013,Ligue 1,CDM,Tier_2,Tier_4,U21,Below1M,65to74,below65,EU
Ligue 1,2013,Ligue 1,CB,Tier_2,Tier_4,U21,Below1M,65to74,65to74,EU
Ligue 1,2013,Ligue 1,LB,Tier_1,Tier_4,U21,10Mto1M,75to84,below65,EU
Ligue 1,2016,Ligue 1,LB,Tier_1,Tier_1,U21,40Mto10M,75to84,65to74,EU
Premier League,2017,Ligue 1,LB,Tier_1,Tier_1,U25,80Mto40M,85above,65to74,EU
Ligue 1,2013,Ligue 1,GK,Tier_3,Tier_4,U21,10Mto1M,75to84,below65,EU
Ligue 1,2013,Ligue 1,RW,Tier_3,Tier_4,U30,Below1M,65to74,65to74,EU
Ligue 1,2013,Ligue 1,LW,Tier_4,Tier_4,U25,10Mto1M,65to74,65to74,EU
Ligue 1,2015,Ligue 1,LW,Tier_4,Tier_4,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2013,Other,CF,Tier_4,Tier_4,U25,Below1M,65to74,below65,EU
Primera Division,2013,Other,CF,Tier_1,Tier_4,U30,10Mto1M,65to74,65to74,EU
Ligue 1,2013,Other,LW,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
Premier League,2015,Ligue 1,LW,Tier_1,Tier_1,U21,80Mto40M,75to84,below65,EU
Premier Liga,2013,Other,CB,Tier_4,Tier_4,U30,Below1M,65to74,65to74,EU
Premier Liga,2014,Ligue 1,LW,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2015,Premier Liga,LW,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,EU
Premier League,2014,Ligue 1,RW,Tier_1,Tier_1,U30,Below1M,75to84,65to74,EU
Serie A,2014,Premier League,LB,Tier_1,Tier_1,A30,10Mto1M,75to84,75to84,EU
Premier Liga,2014,Other,CDM,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,EU
Serie A,2015,Premier Liga,CDM,Tier_1,Tier_2,U30,Below1M,75to84,65to74,EU
Premier League,2014,Ligue 1,CB,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Premier League,CB,Tier_1,Tier_1,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2016,Ligue 1,CB,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Premier League,2014,Ligue 1,CAM,Tier_1,Tier_3,U25,10Mto1M,75to84,75to84,EU
Ligue 1,2016,Premier League,CAM,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2018,Ligue 1,CAM,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Premier Liga,2019,Ligue 1,CAM,Tier_2,Tier_2,U30,40Mto10M,75to84,75to84,EU
Liga Nos,2014,Ligue 1,CB,Tier_2,Tier_1,U21,Below1M,75to84,65to74,EU
Ligue 1,2014,Ligue 1,CF,Tier_2,Tier_1,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2018,Ligue 1,CF,Tier_2,Tier_2,U25,40Mto10M,75to84,65to74,EU
Ligue 1,2014,Ligue 1,CDM,Tier_2,Tier_1,U30,Below1M,75to84,75to84,EU
Primera Division,2014,Ligue 1,CB,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,EU
Serie A,2014,Other,CB,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2014,Ligue 1,LW,Tier_3,Tier_3,U30,10Mto1M,65to74,below65,EU
Ligue 1,2019,Ligue 1,LW,Tier_4,Tier_4,A30,Below1M,65to74,65to74,EU
Primera Division,2014,Other,LB,Tier_1,Tier_4,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2014,Ligue 1,RW,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
Ligue 1,2014,Ligue 1,CDM,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
Premier League,2017,Ligue 1,CDM,Tier_1,Tier_1,U25,40Mto10M,75to84,65to74,EU
Primera Division,2014,Ligue 1,RB,Tier_3,Tier_2,U21,10Mto1M,75to84,below65,EU
Primera Division,2014,Primera Division,CF,Tier_1,Tier_2,U25,40Mto10M,85above,75to84,EU
Primera Division,2019,Primera Division,CF,Tier_1,Tier_1,U30,Above80M,85above,85above,EU
Ligue 1,2014,Ligue 1,CF,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Ligue 1,2014,Ligue 1,GK,Tier_1,Tier_4,U21,10Mto1M,75to84,below65,EU
Ligue 1,2014,Ligue 1,CAM,Tier_2,Tier_3,U21,10Mto1M,65to74,65to74,EU
Ligue 1,2014,Ligue 1,CF,Tier_3,Tier_4,U30,10Mto1M,75to84,65to74,EU
Ligue 1,2014,Other,CB,Tier_2,Tier_4,U30,Below1M,75to84,65to74,EU
Ligue 1,2017,Ligue 1,CB,Tier_3,Tier_2,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2014,Other,GK,Tier_4,Tier_4,U25,Below1M,75to84,65to74,EU
Ligue 1,2014,Other,CB,Tier_3,Tier_4,U30,Below1M,65to74,65to74,EU
Ligue 1,2015,Ligue 1,CM,Tier_3,Tier_2,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2015,1 Bundesliga,RB,Tier_2,Tier_3,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2016,1 Bundesliga,RB,Tier_3,Tier_2,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2019,1 Bundesliga,RB,Tier_3,Tier_3,U30,10Mto1M,65to74,65to74,EU
Ligue 1,2015,Premier League,CM,Tier_1,Tier_1,U21,Below1M,75to84,below65,EU
Ligue 1,2015,Ligue 1,LW,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
Premier League,2015,Ligue 1,LB,Tier_1,Tier_2,U21,10Mto1M,75to84,below65,EU
Ligue 1,2018,Premier League,LB,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,CF,Tier_2,Tier_2,U21,Below1M,75to84,below65,EU
Premier League,2019,Other,CF,Tier_2,Tier_4,U25,40Mto10M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,CAM,Tier_2,Tier_1,U21,Below1M,75to84,65to74,EU
Primera Division,2015,Ligue 1,RW,Tier_2,Tier_1,U30,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,RW,Tier_1,Tier_4,U30,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,CAM,Tier_1,Tier_1,U21,10Mto1M,75to84,below65,EU
Ligue 1,2016,Ligue 1,CAM,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,GK,Tier_2,Tier_1,U21,Below1M,65to74,below65,EU
Premier League,2015,Premier League,CDM,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Premier League,2016,Premier League,CDM,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,EU
1 Bundesliga,2015,Ligue 1,LB,Tier_2,Tier_4,U25,Below1M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,RB,Tier_1,Tier_4,U25,10Mto1M,65to74,below65,EU
Primera Division,2015,Premier League,LW,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,LB,Tier_1,Tier_1,U25,40Mto10M,85above,65to74,EU
Ligue 1,2015,Ligue 1,RW,Tier_1,Tier_2,U21,10Mto1M,75to84,below65,EU
Ligue 1,2017,Ligue 1,RW,Tier_2,Tier_1,U21,10Mto1M,85above,65to74,EU
Premier League,2019,Ligue 1,RW,Tier_1,Tier_2,U25,40Mto10M,85above,75to84,EU
Premier League,2015,Ligue 1,CM,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,EU
Eredivisie,2015,Ligue 1,CF,Tier_3,Tier_4,U21,Below1M,75to84,below65,EU
1 Bundesliga,2017,Eredivisie,CF,Tier_2,Tier_3,U25,10Mto1M,75to84,75to84,EU
Premier League,2019,1 Bundesliga,CF,Tier_1,Tier_2,U25,40Mto10M,85above,75to84,EU
Premier League,2015,Ligue 1,CM,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
Premier League,2016,Premier League,CM,Tier_1,Tier_1,U25,40Mto10M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,LW,Tier_2,Tier_3,U21,Below1M,65to74,65to74,EU
Ligue 1,2015,Ligue 1,LW,Tier_1,Tier_3,U21,10Mto1M,65to74,below65,EU
Primera Division,2018,Ligue 1,LW,Tier_1,Tier_1,U25,80Mto40M,85above,75to84,EU
Ligue 1,2015,Ligue 1,LW,Tier_1,Tier_3,U21,10Mto1M,75to84,65to74,EU
Premier League,2016,Ligue 1,LW,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
Premier League,2015,Ligue 1,CM,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
Serie A,2017,Premier League,CM,Tier_1,Tier_1,U25,10Mto1M,75to84,75to84,EU
Ligue 1,2015,Ligue 1,CDM,Tier_1,Tier_4,U21,10Mto1M,65to74,65to74,EU
Ligue 1,2015,Premier League,CF,Tier_3,Tier_3,U25,10Mto1M,65to74,65to74,EU
Ligue 1,2016,Other,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2019,Ligue 1,CF,Tier_3,Tier_3,U30,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,CM,Tier_2,Tier_4,U21,Below1M,75to84,below65,EU
Ligue 1,2015,Ligue 1,CB,Tier_2,Tier_4,U25,Below1M,65to74,below65,EU
Premier League,2018,Ligue 1,CB,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2015,Ligue 1,CF,Tier_2,Tier_4,U25,10Mto1M,65to74,below65,EU
Ligue 1,2015,Other,CF,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2016,Ligue 1,CF,Tier_3,Tier_2,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2019,1 Bundesliga,CF,Tier_3,Tier_3,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,RW,Tier_3,Tier_4,U21,10Mto1M,65to74,below65,EU
Ligue 1,2015,Ligue 1,RW,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Ligue 1,RW,Tier_3,Tier_1,U21,10Mto1M,85above,65to74,EU
Ligue 1,2015,Ligue 1,CAM,Tier_3,Tier_4,U21,Below1M,65to74,65to74,EU
Ligue 1,2015,Other,RB,Tier_2,Tier_4,U25,Below1M,65to74,below65,EU
Ligue 1,2017,Ligue 1,RB,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,EU
Serie A,2018,Ligue 1,RB,Tier_1,Tier_2,U30,40Mto10M,75to84,65to74,EU
Serie A,2015,Other,CM,Tier_1,Tier_4,U25,Below1M,75to84,65to74,EU
Ligue 1,2019,Serie A,CM,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,Other,CB,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2016,1 Bundesliga,CB,Tier_3,Tier_3,U25,10Mto1M,65to74,below65,EU
Liga Nos,2016,Liga Nos,CB,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
Premier League,2018,Liga Nos,CB,Tier_2,Tier_1,U30,40Mto10M,75to84,65to74,EU
Premier League,2016,Ligue 1,CDM,Tier_1,Tier_2,U25,40Mto10M,75to84,65to74,EU
Premier League,2016,Serie A,CM,Tier_1,Tier_1,U25,Above80M,85above,75to84,EU
Serie A,2016,Premier League,CM,Tier_2,Tier_1,U21,10Mto1M,75to84,below65,EU
Ligue 1,2016,Ligue 1,CM,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
Serie A,2017,Ligue 1,CM,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Primera Division,2016,Ligue 1,CM,Tier_2,Tier_3,U30,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Primera Division,CM,Tier_3,Tier_2,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2019,Ligue 1,CM,Tier_2,Tier_3,U30,10Mto1M,75to84,75to84,EU
Primera Division,2016,Ligue 1,CB,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Primera Division,2016,Ligue 1,CF,Tier_1,Tier_3,U25,10Mto1M,75to84,75to84,EU
Ligue 1,2019,Primera Division,CF,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,EU
Ligue 1,2016,Ligue 1,CDM,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2016,Ligue 1,RB,Tier_2,Tier_3,U25,10Mto1M,65to74,65to74,EU
Ligue 1,2019,Other,RB,Tier_3,Tier_4,U30,10Mto1M,65to74,75to84,EU
Ligue 1,2016,Ligue 1,CDM,Tier_3,Tier_1,U25,Below1M,65to74,below65,EU
1 Bundesliga,2016,Ligue 1,LW,Tier_1,Tier_2,U21,40Mto10M,75to84,65to74,EU
Primera Division,2017,1 Bundesliga,LW,Tier_1,Tier_1,U21,Above80M,85above,65to74,EU
Ligue 1,2016,Ligue 1,RB,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,Ligue 1,CDM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2016,Ligue 1,CM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2016,Ligue 1,CM,Tier_2,Tier_4,U21,10Mto1M,75to84,below65,EU
Primera Division,2016,Ligue 1,CB,Tier_1,Tier_4,U21,10Mto1M,75to84,below65,EU
Primera Division,2018,Primera Division,CB,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Eredivisie,2016,Other,CF,Tier_4,Tier_4,U25,Below1M,65to74,below65,EU
Premier League,2016,Ligue 1,CF,Tier_2,Tier_4,U21,10Mto1M,65to74,below65,EU
Premier League,2019,Premier League,CF,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2016,Ligue 1,CB,Tier_3,Tier_4,U30,10Mto1M,75to84,65to74,EU
Ligue 1,2016,Other,RB,Tier_3,Tier_4,U21,10Mto1M,75to84,below65,EU
1 Bundesliga,2018,Ligue 1,RB,Tier_2,Tier_3,U21,40Mto10M,85above,65to74,EU
Ligue 1,2016,Ligue 1,GK,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2016,Ligue 1,GK,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Ligue 1,2016,Other,CDM,Tier_3,Tier_4,U21,Below1M,75to84,65to74,EU
Ligue 1,2016,Ligue 1,CDM,Tier_4,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2016,Other,CF,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,Ligue 1,CF,Tier_2,Tier_1,U21,10Mto1M,75to84,below65,EU
Ligue 1,2019,Ligue 1,LW,Tier_2,Tier_3,U30,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Ligue 1,LW,Tier_1,Tier_2,U21,10Mto1M,65to74,65to74,EU
1 Bundesliga,2017,Ligue 1,CM,Tier_3,Tier_2,U25,10Mto1M,85above,65to74,EU
Primera Division,2017,Primera Division,LB,Tier_1,Tier_1,U21,40Mto10M,85above,below65,EU
Serie A,2019,Primera Division,LB,Tier_1,Tier_1,U21,40Mto10M,85above,75to84,EU
1 Bundesliga,2017,Serie A,LW,Tier_1,Tier_1,U21,40Mto10M,85above,75to84,EU
Premier League,2017,Ligue 1,CF,Tier_1,Tier_1,U30,80Mto40M,85above,75to84,EU
1 Bundesliga,2017,Ligue 1,CM,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Serie A,2017,Ligue 1,CDM,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
1 Bundesliga,2017,Ligue 1,CF,Tier_2,Tier_1,U21,40Mto10M,75to84,65to74,EU
Ligue 1,2017,Ligue 1,RB,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Ligue 1,CF,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2018,Ligue 1,CF,Tier_3,Tier_3,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Ligue 1,RB,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Premier League,CF,Tier_3,Tier_3,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Ligue 1,CF,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2017,Ligue 1,CB,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,EU
Primera Division,2017,Premier League,CDM,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,EU
Ligue 1,2017,Ligue 1,GK,Tier_3,Tier_3,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2019,Ligue 1,GK,Tier_1,Tier_3,U30,40Mto10M,85above,75to84,EU
1 Bundesliga,2017,Ligue 1,CB,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,1 Bundesliga,CB,Tier_1,Tier_2,U25,40Mto10M,85above,65to74,EU
Ligue 1,2019,1 Bundesliga,CB,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Ligue 1,2017,Ligue 1,CF,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2017,Ligue 1,CF,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2019,Ligue 1,RW,Tier_3,Tier_3,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Ligue 1,CF,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
Premier League,2018,Ligue 1,CF,Tier_3,Tier_1,U25,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Ligue 1,CM,Tier_2,Tier_3,U21,10Mto1M,75to84,below65,EU
